,locality,type,subtype,price,sale_type,rooms,living_area,equipped_kitchen,furnished,fire,terrace,terrace_area,garden,garden_area,plot_surface,facades,pool,state
0,8370,2,DUPLEX,189000,1,1,62,,,0,1,3,,,,,,
1,2300,1,HOUSE,270000,1,3,104,0,,0,1,,,,193,2,,GOOD
2,1050,2,APARTMENT,2950,2,2,138,1,1,0,1,10,,,,2,0,AS_NEW
3,4000,2,APARTMENT,890,2,3,90,0,0,0,1,7,,,,3,0,AS_NEW
4,9300,2,APARTMENT,360000,1,3,138,0,,0,1,8,,,,2,,GOOD
5,1050,2,APARTMENT,1400,2,2,,,,0,,,,,,2,,
6,7062,2,GROUND_FLOOR,670,2,1,50,0,,0,1,,,,,,,GOOD
7,2260,1,HOUSE,990,2,2,142,,0,0,,,,,0,4,,
8,2020,2,APARTMENT,780,2,1,70,0,,0,1,4,,,,2,0,GOOD
9,5640,1,HOUSE,415000,1,6,350,0,0,0,1,50,1,500,689,4,0,GOOD
10,1760,1,VILLA,985000,1,4,400,1,1,0,1,30,1,522,1055,2,1,
11,3290,2,APARTMENT,1125,2,3,131,,,0,1,17,,,,4,,
12,4000,2,APARTMENT,600,2,1,48,0,,0,1,1,,,,,,
13,8560,1,HOUSE,349000,1,3,,,,0,,,,,299,3,,GOOD
14,6210,1,HOUSE,1300,2,3,205,0,0,0,1,30,,,0,2,0,GOOD
15,1360,2,APARTMENT,975,2,2,83,1,0,0,1,8,,,,3,,AS_NEW
16,2600,2,APARTMENT,275000,1,3,119,0,,0,1,11,,,,2,,GOOD
17,7190,2,APARTMENT,980,2,2,115,1,,0,1,12,,,,4,0,AS_NEW
18,2610,2,GROUND_FLOOR,1495,2,3,140,1,0,0,,,1,205,,,,AS_NEW
19,1200,2,APARTMENT,1025,2,1,65,1,0,0,1,5,,,,2,0,GOOD
20,1000,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
21,1040,2,GROUND_FLOOR,860,2,1,50,0,0,0,,,,,,,0,GOOD
22,7500,2,KOT,370,2,5,,0,,0,,,,,,2,,GOOD
23,7600,2,APARTMENT,520,2,1,53,0,0,0,,,,,,2,,
24,2200,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
25,1040,2,APARTMENT,1950,2,2,78,1,1,0,,,,,,2,,JUST_RENOVATED
26,9340,2,APARTMENT,850,2,2,93,0,,0,1,,,,,,,AS_NEW
27,1020,1,HOUSE,2000,2,3,150,0,,0,1,,1,600,648,3,0,GOOD
28,1050,2,APARTMENT,3500,2,4,238,0,,1,1,28,,,,2,,JUST_RENOVATED
29,9000,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
30,8300,1,HOUSE,3695000,1,4,222,1,,0,,,,,515,3,,GOOD
31,4783,1,HOUSE,99000,1,3,,,,0,,,,,310,3,,TO_RENOVATE
32,9000,2,APARTMENT,1350,2,2,106,1,,0,1,23,,,,2,,AS_NEW
33,1180,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
34,5190,2,APARTMENT,630,2,1,63,0,,0,,,,,,,,
35,1200,2,APARTMENT,1500,2,2,110,0,,1,1,11,,,,4,,GOOD
36,6660,1,HOUSE,600,2,2,,0,,0,,,,,0,3,,
37,3000,1,HOUSE,2000,2,5,152,0,,0,1,8,1,350,350,2,0,AS_NEW
38,1000,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
39,6060,2,APARTMENT,600,2,2,65,0,0,0,,,,,,3,,
40,9800,2,PENTHOUSE,1100,2,2,114,0,0,0,1,73,,,,2,0,
41,1050,2,APARTMENT,1475,2,2,110,,0,0,,,,,,,0,AS_NEW
42,1060,2,DUPLEX,1500,2,1,70,0,1,0,,,,,,2,0,AS_NEW
43,9051,2,APARTMENT,365000,1,3,126,0,,1,1,6,,,,4,,GOOD
44,3630,2,PENTHOUSE,365000,1,2,99,0,,0,1,,,,,,,
45,9000,2,APARTMENT,379000,1,2,63,0,,0,,,,,,,,GOOD
46,9240,1,HOUSE,265000,1,2,163,,,0,1,10,,,110,3,,GOOD
47,2580,1,HOUSE,530000,1,4,224,,,0,,,,,326,,,GOOD
48,8020,1,HOUSE,480000,1,4,,0,,0,1,,,,266,4,,GOOD
49,3640,2,APARTMENT,212000,1,1,84,0,,0,1,11,,,,,,
50,1080,2,APARTMENT,224500,1,2,75,0,0,0,1,3,,,,2,0,GOOD
51,3800,2,APARTMENT,165000,1,2,70,,,0,,,,,,,,
52,1332,2,DUPLEX,900,2,1,62,0,0,0,1,30,,,,3,0,AS_NEW
53,9000,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
54,1180,2,APARTMENT,1300,2,2,98,1,0,0,1,2,,,,2,0,JUST_RENOVATED
55,8000,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
56,6000,2,KOT,425,2,1,170,1,1,0,1,20,1,65,,2,0,GOOD
57,1420,2,APARTMENT,340000,1,2,90,0,0,0,1,32,1,300,,3,0,GOOD
58,9660,1,MIXED_USE_BUILDING,349000,1,3,168,0,,0,,,,,932,4,,TO_BE_DONE_UP
59,1050,2,APARTMENT,1600,2,3,103,1,,0,1,,,,,2,0,AS_NEW
60,8020,1,HOUSE,359000,1,3,141,0,,0,,,,,365,,,TO_BE_DONE_UP
61,3090,2,KOT,575,2,1,350,1,1,0,1,100,1,1000,,4,0,JUST_RENOVATED
62,1050,2,GROUND_FLOOR,3500,2,2,189,1,0,0,1,10,1,35,,2,1,AS_NEW
63,2880,2,DUPLEX,695,2,1,71,0,,0,,,,,,2,,GOOD
64,2610,2,APARTMENT,1180,2,2,85,,,0,1,14,,,,,,
65,6000,2,APARTMENT,850,2,2,78,0,,0,,,,,,2,,
66,1050,2,APARTMENT,1450,2,2,106,1,0,0,,,,,,2,0,AS_NEW
67,8530,2,APARTMENT,925,2,2,100,,0,0,1,,,,,3,0,
68,9600,2,APARTMENT,650,2,2,67,0,,0,1,,,,,2,,GOOD
69,8830,2,TRIPLEX,1025,2,3,206,,0,0,1,,,,,,,AS_NEW
70,4650,,HOUSE_GROUP,,1,,,,,0,,,,,,,,
71,8610,1,HOUSE,289000,1,3,110,0,,0,,,,,148,,,GOOD
72,9950,1,HOUSE,850,2,3,172,,0,0,1,,,,294,4,,AS_NEW
73,4020,2,APARTMENT,725,2,1,70,0,0,0,,,,,,,0,GOOD
74,3190,1,VILLA,1295000,1,7,541,0,,1,1,65,1,3600,4292,4,1,GOOD
75,7500,2,APARTMENT,680,2,1,53,0,0,0,1,25,,,,2,0,GOOD
76,2440,2,APARTMENT,430700,1,3,139,0,,0,1,13,,,,2,,
77,8000,1,HOUSE,950,2,3,115,0,0,0,,,1,28,0,4,0,GOOD
78,1800,1,MIXED_USE_BUILDING,849000,1,6,560,1,0,0,,,,,345,2,0,
79,3500,2,APARTMENT,925,2,2,101,0,,0,1,,,,,,,GOOD
80,1050,2,APARTMENT,990,2,1,55,0,1,0,1,3,,,,2,0,AS_NEW
81,1000,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
82,8790,2,APARTMENT,725,2,2,84,0,0,0,,,,,,4,0,GOOD
83,3500,2,APARTMENT,895,2,2,88,1,0,0,1,30,,,,2,0,
84,2800,2,APARTMENT,349000,1,2,87,0,,0,1,12,,,,3,,AS_NEW
85,9000,2,APARTMENT,1650,2,2,119,,,0,1,29,,,,,,GOOD
86,1731,2,APARTMENT,1300,2,2,95,,,0,,,,,,,,
87,7911,1,HOUSE,120000,1,3,150,0,,0,,,,,390,2,,GOOD
88,1000,2,APARTMENT,1600,2,2,150,0,1,0,,,,,,2,0,GOOD
89,8720,2,APARTMENT,235000,1,2,115,0,,0,1,,,,,,,GOOD
90,3053,1,HOUSE,1650,2,3,165,,0,0,1,28,1,360,488,3,,GOOD
91,1640,1,HOUSE,645000,1,4,160,0,,0,,,,,460,4,,GOOD
92,9830,2,APARTMENT,399000,1,2,123,0,,0,1,,,,,4,,GOOD
93,3300,2,PENTHOUSE,1495,2,1,112,1,,0,1,90,,,,,,AS_NEW
94,8000,2,APARTMENT,695,2,1,75,0,0,0,1,16,,,,,0,GOOD
95,4000,1,HOUSE,650000,1,4,300,0,0,0,,,,,110,2,0,TO_RENOVATE
96,5100,2,APARTMENT,850,2,2,,0,,0,1,7,,,,,,GOOD
97,1420,1,HOUSE,275000,1,3,100,0,0,0,1,15,1,141,190,2,0,TO_BE_DONE_UP
98,2100,2,APARTMENT,135000,1,2,,0,,0,,,,,,,,
99,4800,2,APARTMENT,695,2,1,82,0,0,0,1,12,,,,2,,
100,2000,2,APARTMENT,1600,2,2,100,,1,0,1,6,,,,,,
101,4540,2,APARTMENT,299500,1,3,115,1,,0,1,14,,,,2,,AS_NEW
102,4400,2,APARTMENT,225000,1,2,72,0,,0,,,,,,2,,GOOD
103,8370,2,APARTMENT,395000,1,3,87,0,1,0,1,,,,,,,TO_BE_DONE_UP
104,7500,1,TOWN_HOUSE,925,2,2,120,0,,0,1,,1,140,0,2,,AS_NEW
105,5004,2,APARTMENT,895,2,1,68,,,0,1,5,,,,,0,AS_NEW
106,5300,2,APARTMENT,995,2,3,90,,,0,1,13,,,,,,GOOD
107,8670,1,HOUSE,725000,1,4,373,0,,1,,,,,566,4,0,
108,2200,2,APARTMENT,880,2,2,69,1,,0,1,6,,,,,,
109,9160,2,APARTMENT,720,2,1,,,0,0,1,,,,,,,
110,9170,2,GROUND_FLOOR,259000,1,2,98,0,,0,1,,,,,,,GOOD
111,2570,1,HOUSE,299000,1,3,138,0,,0,1,,,,919,3,,TO_RENOVATE
112,8200,1,HOUSE,310000,1,1,140,,,0,,,,,186,4,,
113,4280,1,HOUSE,370000,1,2,130,0,0,0,1,,1,300,537,3,0,AS_NEW
114,9320,2,APARTMENT,825,2,2,100,,,0,1,,,,,3,,
115,1180,2,APARTMENT,399000,1,1,110,1,0,0,1,8,,,,4,0,GOOD
116,1300,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
117,5530,2,APARTMENT,295000,1,2,86,0,,0,,,,,,,,GOOD
118,7140,2,APARTMENT,775,2,2,85,0,,0,,,,,,,,
119,2020,2,APARTMENT,695,2,1,65,0,,0,,,,,,,,
120,1160,2,GROUND_FLOOR,230000,1,1,60,1,,0,,,,,,2,0,AS_NEW
121,5000,2,GROUND_FLOOR,1200,2,2,93,0,,0,1,29,,,,4,,
122,8810,2,APARTMENT,640,2,2,,0,,0,,,,,,,,GOOD
123,1050,2,APARTMENT,1600,2,2,84,1,1,0,1,8,,,,3,0,AS_NEW
124,1081,2,APARTMENT,1100,2,0,94,0,0,0,,,,,,2,0,GOOD
125,4000,2,APARTMENT,268589,1,2,99,,,0,1,10,,,,,,
126,1030,2,APARTMENT,1275,2,2,102,0,0,0,,,,,,2,0,AS_NEW
127,3800,1,HOUSE,369000,1,3,125,0,,0,1,26,,,0,,,
128,1050,1,HOUSE,495000,1,3,160,0,0,0,,,,,38,2,0,TO_RENOVATE
129,2540,2,DUPLEX,619000,1,3,202,0,,1,1,19,,,,3,,GOOD
130,2570,1,VILLA,985000,1,4,370,,0,0,1,,1,2000,2500,4,,GOOD
131,2540,2,APARTMENT,619000,1,3,202,0,,1,1,19,,,,3,,GOOD
132,1140,2,APARTMENT,1550,2,2,92,1,0,0,1,15,,,,,0,GOOD
133,2018,2,APARTMENT,330000,1,2,67,0,,0,,,,,,,,JUST_RENOVATED
134,1640,2,APARTMENT,385000,1,2,118,1,,0,1,15,1,100,,3,0,AS_NEW
135,5000,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
136,4000,2,APARTMENT,790,2,2,80,0,,0,1,4,,,,2,,AS_NEW
137,3051,1,HOUSE,497500,1,5,192,,,0,,,1,179,252,,,GOOD
138,6782,1,HOUSE,520000,1,4,204,1,,0,1,25,1,700,1068,4,,AS_NEW
139,1190,2,APARTMENT,1570,2,3,126,1,0,0,1,15,,,,2,0,GOOD
140,1150,1,HOUSE,2250,2,4,120,1,1,0,1,10,1,43,94,2,0,AS_NEW
141,7080,1,HOUSE,270000,1,3,351,0,,1,1,,,,990,4,,GOOD
142,1180,2,APARTMENT,435000,1,2,79,1,0,0,1,3,,,,2,0,JUST_RENOVATED
143,5300,2,APARTMENT,590,2,1,,0,0,0,,,,,,2,,
144,3560,2,APARTMENT,820,2,2,91,0,0,0,,,,,,3,0,GOOD
145,1755,2,APARTMENT,1150,2,3,113,0,,0,1,,,,,2,,
146,5170,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
147,7812,1,HOUSE,950,2,3,128,0,1,0,,,,,0,4,,
148,3090,1,HOUSE,3500,2,7,350,,1,0,1,100,1,1000,1260,4,0,JUST_RENOVATED
149,5030,2,APARTMENT,1100,2,3,108,0,,0,1,12,,,,4,,AS_NEW
150,2310,2,APARTMENT,750,2,1,96,1,,0,,,,,,,,GOOD
151,1050,2,GROUND_FLOOR,1300,2,2,64,0,0,0,1,8,1,150,,2,0,JUST_RENOVATED
152,1420,1,HOUSE,1680,2,3,140,1,0,0,1,20,1,100,271,2,0,JUST_RENOVATED
153,2431,2,APARTMENT,299000,1,2,96,1,,0,1,40,1,296,,3,,GOOD
154,2930,1,HOUSE,1575,2,3,143,,,0,1,,,,0,3,,GOOD
155,7740,1,HOUSE,225000,1,4,185,1,0,0,1,30,,,60,3,0,GOOD
156,1180,1,HOUSE,3150,2,5,215,0,0,0,1,15,,,0,2,,
157,1730,1,HOUSE,284900,1,2,,,,0,1,,,,210,2,,GOOD
158,1040,2,APARTMENT,399000,1,3,135,0,,0,1,2,,,,2,0,GOOD
159,3000,2,KOT,510,2,4,,1,1,0,1,,,,,,,GOOD
160,4560,1,HOUSE,130000,1,2,123,,0,0,,,,,736,3,,
161,1030,2,APARTMENT,1290,2,1,80,,0,0,1,5,,,,2,,AS_NEW
162,2950,1,HOUSE,529000,1,3,165,0,0,0,,,1,86,273,2,0,AS_NEW
163,8850,1,HOUSE,289000,1,2,131,,,0,,,,,170,3,,GOOD
164,1060,2,APARTMENT,420000,1,1,73,1,,0,,,,,,2,0,AS_NEW
165,4000,1,TOWN_HOUSE,199000,1,4,148,0,0,0,1,25,,,110,2,0,GOOD
166,1050,2,APARTMENT,1090,2,1,70,1,1,0,1,,,,,2,,GOOD
167,7080,2,APARTMENT,890,2,2,90,0,0,0,1,12,,,,2,,GOOD
168,3270,1,HOUSE,295000,1,3,188,,,0,,,,,1009,4,,TO_RENOVATE
169,5590,2,DUPLEX,260000,1,2,116,0,0,0,1,12,,,,2,0,AS_NEW
170,4802,2,APARTMENT,700,2,2,71,0,0,0,,,,,,2,0,GOOD
171,9230,1,HOUSE,169000,1,2,56,0,,0,1,22,1,108,190,2,,GOOD
172,8430,2,FLAT_STUDIO,155000,1,0,44,0,,0,1,,,,,2,,
173,8620,2,APARTMENT,730000,1,3,120,0,,0,1,,,,,2,,JUST_RENOVATED
174,9770,2,APARTMENT,349990,1,3,120,0,,0,1,23,1,189,,,,GOOD
175,6852,1,HOUSE,335000,1,7,387,0,,1,1,,,,1520,4,,AS_NEW
176,1200,2,GROUND_FLOOR,1775,2,2,95,1,1,0,1,10,1,35,,2,0,AS_NEW
177,8020,2,APARTMENT,850,2,2,,0,,0,1,1,,,,,0,
178,6230,2,APARTMENT,850,2,2,94,0,0,0,1,8,,,,2,0,GOOD
179,1060,2,APARTMENT,1350,2,1,67,1,0,0,,,,,,2,0,AS_NEW
180,1030,2,APARTMENT,1050,2,1,70,1,1,0,1,13,,,,,0,GOOD
181,1000,2,APARTMENT,1095000,1,4,307,0,0,0,1,10,,,,2,0,TO_RENOVATE
182,2900,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
183,8647,1,HOUSE,1150000,1,4,313,,,0,1,,1,3513,5657,4,,GOOD
184,4000,2,APARTMENT,271064,1,2,99,,,0,1,10,,,,,,
185,1050,2,APARTMENT,900,2,1,60,0,0,0,,,,,,2,0,
186,9051,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
187,1150,2,APARTMENT,2950,2,3,260,1,0,0,,,,,,4,,AS_NEW
188,1082,2,APARTMENT,1050,2,2,,1,,0,1,3,,,,3,,AS_NEW
189,8370,2,FLAT_STUDIO,205000,1,0,46,0,,0,1,,,,,,,GOOD
190,4530,1,HOUSE,1300,2,6,270,0,,0,1,,1,750,1000,4,,GOOD
191,1030,2,GROUND_FLOOR,225000,1,1,50,1,,0,1,2,,,,3,,JUST_RENOVATED
192,8400,2,APARTMENT,859900,1,3,117,1,,0,1,9,,,,,,GOOD
193,8000,1,HOUSE,640000,1,4,312,,,0,1,,,,106,2,,GOOD
194,7700,2,APARTMENT,830,2,2,88,1,0,0,1,8,,,,2,0,AS_NEW
195,8620,2,APARTMENT,900,2,1,70,0,0,0,1,10,,,,2,0,AS_NEW
196,8500,1,HOUSE,379000,1,3,151,,,0,1,,,,85,2,,AS_NEW
197,1000,2,APARTMENT,1500,2,2,120,1,0,0,1,10,,,,2,0,GOOD
198,6880,2,APARTMENT,109000,1,1,96,0,0,0,1,12,,,,3,0,JUST_RENOVATED
199,1200,2,APARTMENT,1025,2,1,67,1,0,0,1,7,,,,2,0,GOOD
200,2018,2,APARTMENT,335000,1,1,76,0,,0,1,4,,,,2,0,AS_NEW
201,5030,2,FLAT_STUDIO,62000,1,0,40,0,,0,1,7,,,,4,,JUST_RENOVATED
202,1060,2,APARTMENT,1250,2,2,102,1,0,0,,,,,,2,0,GOOD
203,1190,2,APARTMENT,269000,1,1,70,1,0,0,1,10,,,,2,0,AS_NEW
204,2630,2,APARTMENT,229000,1,2,86,0,,0,1,4,,,,,,GOOD
205,3000,2,APARTMENT,1190,2,2,100,0,0,0,1,3,,,,,,GOOD
206,1190,2,KOT,600,2,1,13,1,,0,1,,1,9,,2,0,AS_NEW
207,7110,1,HOUSE,159000,1,3,160,0,0,0,1,,,,150,2,,GOOD
208,9800,,HOUSE_GROUP,,1,,,,,0,,,,,,,,
209,8300,2,APARTMENT,815000,1,3,76,1,,0,1,5,,,,2,0,JUST_RENOVATED
210,9890,1,HOUSE,487315,1,3,,,,0,,,1,567,0,,,
211,9140,1,HOUSE,459000,1,3,,,,0,1,,,,694,3,,AS_NEW
212,9860,1,HOUSE,250000,1,3,249,0,,0,,,,,870,,,TO_BE_DONE_UP
213,4000,1,HOUSE,109000,1,2,79,0,0,0,1,8,,,0,2,0,TO_BE_DONE_UP
214,2300,2,APARTMENT,780,2,2,81,,0,0,1,9,,,,,,GOOD
215,1050,2,APARTMENT,1350,2,1,70,0,,0,1,7,,,,,0,
216,1820,1,HOUSE,1300,2,2,80,1,0,0,1,30,,,100,3,0,AS_NEW
217,8310,1,HOUSE,725000,1,6,313,0,0,0,,,1,2840,2840,4,0,TO_RENOVATE
218,8370,2,APARTMENT,800,2,2,82,,1,0,1,,,,,,,
219,1410,1,VILLA,520000,1,4,187,0,,1,1,12,1,1600,790,4,0,TO_RENOVATE
220,3070,1,HOUSE,1150,2,2,180,0,,0,,,,,400,3,,
221,2861,2,APARTMENT,950,2,2,92,0,,0,1,25,1,140,,3,,GOOD
222,1000,2,APARTMENT,1250,2,1,77,1,1,0,,,,,,2,0,JUST_RENOVATED
223,1150,2,APARTMENT,1500,2,2,77,1,1,0,1,12,,,,,,AS_NEW
224,1200,2,APARTMENT,1075,2,1,65,1,0,0,1,5,,,,2,0,AS_NEW
225,1050,2,APARTMENT,680,2,2,88,,1,0,,,,,,,0,
226,8670,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
227,2930,2,APARTMENT,229000,1,2,93,0,,0,1,1,,,,2,,TO_BE_DONE_UP
228,2275,2,APARTMENT,259000,1,2,82,,,0,1,,,,,4,,AS_NEW
229,7000,2,APARTMENT,185000,1,2,85,,0,0,1,,,,,,0,AS_NEW
230,3580,1,HOUSE,195000,1,3,165,,,0,,,,,600,3,,
231,1780,1,VILLA,2500,2,4,195,1,,0,,,,,0,,,
232,9120,2,APARTMENT,177000,1,2,74,0,,0,,,,,,4,,TO_RENOVATE
233,1000,2,GROUND_FLOOR,395000,1,2,113,0,0,0,,,1,90,,2,,
234,1190,2,APARTMENT,349000,1,2,90,0,0,0,1,14,,,,,0,AS_NEW
235,3600,2,PENTHOUSE,551500,1,2,139,0,,0,1,71,,,,2,,
236,8930,1,HOUSE,275000,1,4,,,,0,,,,,373,3,,AS_NEW
237,8300,1,HOUSE,3000,2,5,430,,,0,,,,,5541,,,GOOD
238,8300,1,HOUSE,2175000,1,4,250,0,0,0,1,,,,0,3,,GOOD
239,1502,2,APARTMENT,770,2,2,97,,,0,,,,,,,,
240,1000,2,APARTMENT,950,2,1,73,,,0,,,,,,,,GOOD
241,1200,2,APARTMENT,1075,2,1,67,1,0,0,1,7,,,,,0,AS_NEW
242,1420,2,APARTMENT,1600,2,2,104,,0,0,1,27,,,,2,,
243,5300,1,HOUSE,385000,1,3,245,1,,0,1,,,,1225,4,,GOOD
244,9300,1,VILLA,530600,1,4,165,,,0,,,,,1800,4,,
245,4600,2,APARTMENT,950,2,3,115,0,,0,1,7,,,,2,0,GOOD
246,7000,1,HOUSE,745,2,2,130,0,0,0,,,,,0,2,,GOOD
247,4020,2,APARTMENT,875,2,2,90,0,,0,1,2,,,,,,AS_NEW
248,9700,1,VILLA,745000,1,3,266,0,,0,1,,,,3090,4,,GOOD
249,1547,1,HOUSE,639500,1,4,269,0,,0,1,39,1,1038,1270,4,,
250,1348,2,APARTMENT,760,2,1,55,,,0,,,,,,,,
251,2640,1,HOUSE,499500,1,4,217,0,,0,,,1,125,215,2,,
252,1180,2,APARTMENT,449000,1,2,122,0,0,0,1,4,,,,2,0,GOOD
253,1180,2,APARTMENT,1650,2,3,115,0,0,0,1,4,,,,3,,GOOD
254,8310,2,APARTMENT,1375,2,2,120,1,0,0,1,12,,,,4,0,AS_NEW
255,8670,,HOUSE_GROUP,,1,,,,,0,,,,,,,,
256,6032,1,HOUSE,148000,1,2,120,0,0,0,1,20,1,300,533,3,,
257,1800,2,APARTMENT,265000,1,2,80,0,0,0,,,,,,2,0,AS_NEW
258,4600,1,VILLA,249000,1,4,270,0,0,0,1,24,1,250,492,4,0,TO_RENOVATE
259,1000,1,APARTMENT_BLOCK,650000,1,9,187,0,1,0,1,16,,,57,2,0,GOOD
260,9600,,HOUSE_GROUP,,1,,,,,0,,,,,,,,
261,2000,2,APARTMENT,1150,2,2,85,0,,0,1,3,,,,,,
262,1120,2,APARTMENT,1000,2,1,75,0,0,0,1,10,,,,2,0,GOOD
263,8560,1,HOUSE,220000,1,6,229,0,,0,,,,,514,2,,TO_RENOVATE
264,9300,2,APARTMENT,880,2,2,90,1,0,0,1,5,,,,2,,GOOD
265,2890,2,APARTMENT,1145,2,2,90,0,,0,1,,,,,2,,
266,8000,2,APARTMENT,950,2,2,95,,0,0,1,,,,,,,
267,9300,1,HOUSE,289000,1,2,119,0,,0,1,,,,91,2,,GOOD
268,1000,2,APARTMENT,1550,2,2,93,1,1,0,,,,,,2,,JUST_RENOVATED
269,2220,2,APARTMENT,800,2,2,93,,,0,,,,,,2,,GOOD
270,9150,2,APARTMENT,820,2,2,96,0,0,0,1,5,,,,4,0,GOOD
271,8790,1,VILLA,499500,1,3,,,,0,1,1,1,1,639,4,0,
272,1000,2,APARTMENT,1500,2,2,102,0,1,0,,,,,,,,
273,4400,1,APARTMENT_BLOCK,249000,1,2,220,0,,0,1,16,,,267,2,,TO_RESTORE
274,9300,2,APARTMENT,735,2,2,,0,,0,1,,,,,2,,GOOD
275,1050,2,APARTMENT,995000,1,3,150,0,1,1,1,2,,,,3,0,GOOD
276,1050,2,APARTMENT,1450,2,2,73,1,0,0,,,,,,,0,AS_NEW
277,4420,1,HOUSE,199000,1,4,,,,0,,,,,167,3,,
278,9910,1,HOUSE,456260,1,3,195,,,0,,,,,429,,,GOOD
279,1150,2,APARTMENT,690,2,1,51,,,0,,,,,,,0,
280,4400,1,HOUSE,279000,1,3,130,0,,0,1,40,1,440,759,3,,JUST_RENOVATED
281,1150,2,APARTMENT,1600,2,3,120,0,0,0,1,35,1,200,,,0,GOOD
282,9100,1,HOUSE,1390,2,3,151,,0,0,1,,,,278,2,,GOOD
283,2000,2,APARTMENT,1200000,1,2,138,,,0,1,40,,,,,,
284,9900,1,HOUSE,269000,1,4,157,,,0,,,,,1242,,,TO_RENOVATE
285,4000,2,PENTHOUSE,249500,1,2,113,0,,0,1,,,,,2,,
286,1000,2,APARTMENT,895,2,1,,0,1,0,,,,,,2,0,JUST_RENOVATED
287,1348,2,APARTMENT,1450,2,3,103,1,0,0,1,15,,,,2,0,AS_NEW
288,3000,2,APARTMENT,419000,1,2,90,0,,0,1,7,1,17,,,,GOOD
289,1000,1,EXCEPTIONAL_PROPERTY,749000,1,5,175,1,,0,1,9,1,19,0,2,0,AS_NEW
290,4000,2,PENTHOUSE,249500,1,2,107,0,,0,1,,,,,2,,
291,2540,1,HOUSE,749000,1,4,281,0,0,0,,,,,595,4,0,
292,4000,2,GROUND_FLOOR,268614,1,2,99,,,0,1,10,,,,,,
293,4031,1,HOUSE,75000,1,4,138,0,,0,1,9,1,40,0,2,,TO_RESTORE
294,6880,1,HOUSE,990,2,3,145,0,0,0,1,,,,0,3,0,GOOD
295,1150,2,DUPLEX,1900,2,2,200,,0,0,1,30,,,,,,AS_NEW
296,7500,2,APARTMENT,850,2,2,109,0,,0,1,,,,,2,0,GOOD
297,6890,1,VILLA,439000,1,4,194,0,,0,1,,,,1173,4,1,AS_NEW
298,1200,2,APARTMENT,436000,1,2,86,1,0,0,1,7,,,,2,0,AS_NEW
299,9052,2,APARTMENT,1250,2,3,90,,,0,1,25,,,,,0,AS_NEW
300,2860,1,HOUSE,1580,2,4,175,0,,0,1,,1,119,0,2,,GOOD
301,1050,2,APARTMENT,500,2,1,10,,0,0,,,,,,2,0,AS_NEW
302,9400,2,APARTMENT,234000,1,2,77,0,,0,,,,,,,,AS_NEW
303,1200,2,APARTMENT,750,2,1,35,0,0,0,,,,,,2,0,GOOD
304,2100,2,APARTMENT,219000,1,2,,1,,0,,,,,,,,
305,9600,1,HOUSE,339500,1,5,900,,,0,1,,,,557,2,,TO_RESTORE
306,9800,1,HOUSE,423400,1,3,132,1,0,0,1,,,,227,3,0,GOOD
307,1770,2,APARTMENT,199000,1,2,74,0,,0,1,,,,,2,,GOOD
308,2830,2,APARTMENT,224000,1,1,54,0,,0,1,12,,,,2,,GOOD
309,2300,2,APARTMENT,292900,1,2,90,0,,0,1,20,,,,2,,
310,8000,1,HOUSE,1650,2,2,,,0,0,,,,,0,4,,
311,8500,1,HOUSE,228000,1,3,133,0,,0,,,1,60,105,2,,AS_NEW
312,3370,1,HOUSE,498000,1,3,120,,,0,1,,,,318,4,,AS_NEW
313,6540,1,VILLA,580000,1,4,190,1,,0,1,56,1,884,984,4,1,AS_NEW
314,9300,2,APARTMENT,800,2,2,94,0,,0,1,,,,,2,,GOOD
315,2018,1,MIXED_USE_BUILDING,109000,1,1,21,0,,0,,,,,188,2,,GOOD
316,8790,2,APARTMENT,125000,1,1,41,0,,0,,,,,,,,GOOD
317,2590,1,HOUSE,299000,1,2,62,,,0,1,,,,0,3,,JUST_RENOVATED
318,1000,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
319,9190,1,HOUSE,370000,1,3,175,0,,0,1,20,,,873,4,,GOOD
320,9300,1,HOUSE,429000,1,4,190,1,,0,1,30,1,150,365,3,0,GOOD
321,1180,1,APARTMENT_BLOCK,649000,1,4,305,,,0,1,9,1,121,251,2,,TO_RENOVATE
322,9308,1,HOUSE,259000,1,4,,0,,0,1,21,1,253,424,2,,TO_RENOVATE
323,1450,,HOUSE_GROUP,,1,,,,,0,,,,,,,,
324,1400,2,APARTMENT,875,2,2,75,0,0,0,1,,,,,2,,GOOD
