,locality,type,subtype,price,sale_type,rooms,living_area,equipped_kitchen,furnished,fire,terrace,terrace_area,garden,garden_area,plot_surface,facades,pool,state
9834,1410,2,PENTHOUSE,1550,2,2,110,1,0,0,1,90,,,,4,0,AS_NEW
9835,1000,2,APARTMENT,2500,2,3,130,1,1,0,1,15,,,,2,,AS_NEW
9836,7110,1,HOUSE,900,2,0,,,,0,,,,,0,,0,
9837,6180,1,HOUSE,219000,1,4,137,0,0,0,1,,1,136,300,3,0,JUST_RENOVATED
9838,8211,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
9839,9111,1,HOUSE,2250000,1,3,322,1,,0,,,,,38690,,,GOOD
9840,4100,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
9841,5080,2,GROUND_FLOOR,800,2,1,80,0,,0,,,,,,4,,JUST_RENOVATED
9842,1030,2,APARTMENT,1900,2,2,115,,1,0,,,,,,,,
9843,9800,1,HOUSE,374001,1,3,183,0,0,0,,,,,304,2,0,GOOD
9844,9040,2,GROUND_FLOOR,479000,1,3,128,1,0,0,1,23,1,113,,4,0,GOOD
9845,1050,2,APARTMENT,2250,2,3,142,1,0,0,,,,,,2,0,AS_NEW
9846,1933,2,APARTMENT,349000,1,2,80,1,0,0,1,10,1,43,,2,0,
9847,3800,1,HOUSE,245000,1,3,160,0,,0,,,,,1179,,,TO_RENOVATE
9848,1348,2,APARTMENT,145000,1,1,29,0,,0,,,,,,,,GOOD
9849,9500,1,HOUSE,360000,1,3,232,0,,0,1,30,,,537,3,,
9850,9800,2,LOFT,1185,2,2,140,1,0,0,1,12,,,,2,0,AS_NEW
9851,4500,1,HOUSE,220000,1,4,175,0,0,0,,,,,110,2,0,
9852,1150,2,APARTMENT,445000,1,2,102,1,0,0,1,6,,,,2,0,JUST_RENOVATED
9853,2260,1,HOUSE,437000,1,3,135,0,,0,,,,,0,3,,
9854,6890,,HOUSE_GROUP,,1,,,,,0,,,,,,,,
9855,8620,2,APARTMENT,245000,1,1,36,0,,0,,,,,,,,GOOD
9856,1040,2,DUPLEX,1700,2,2,100,0,1,0,1,30,,,,2,,
9857,2000,2,APARTMENT,275000,1,2,91,0,,0,1,10,,,,2,0,AS_NEW
9858,5000,2,APARTMENT,390,2,4,102,0,,0,1,,,,,2,,
9859,5100,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
9860,1410,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
9861,6001,1,HOUSE,148000,1,2,133,,0,0,1,,,,200,2,,TO_BE_DONE_UP
9862,3000,2,APARTMENT,349000,1,2,99,,,0,1,,,,,,,TO_BE_DONE_UP
9863,8540,2,APARTMENT,790,2,3,140,0,,0,1,30,,,,,,GOOD
9864,2018,1,APARTMENT_BLOCK,1390000,1,11,410,0,,0,1,2,1,86,241,,,GOOD
9865,1000,2,APARTMENT,1450,2,2,123,1,0,0,1,22,,,,,1,AS_NEW
9866,4051,1,BUNGALOW,325000,1,3,154,0,,0,1,35,,,1335,4,,
9867,1325,1,VILLA,1425000,1,4,358,0,,1,1,50,,,4047,4,1,GOOD
9868,1000,2,GROUND_FLOOR,2850,2,2,145,0,0,0,1,30,,,,2,0,AS_NEW
9869,2300,1,HOUSE,1000,2,2,120,,,0,1,,,,104,2,,
9870,3000,2,KOT,640,2,0,15,,1,0,,,,,,,,AS_NEW
9871,2270,1,HOUSE,248000,1,2,,0,0,0,1,,,,650,4,,TO_RENOVATE
9872,1000,2,DUPLEX,1295,2,2,75,1,1,0,,,,,,2,0,JUST_RENOVATED
9873,1180,2,APARTMENT,615000,1,3,149,0,0,0,1,10,,,,2,0,AS_NEW
9874,1853,2,APARTMENT,355000,1,3,107,0,,0,1,15,,,,2,,GOOD
9875,4000,2,APARTMENT,160000,1,3,96,0,,0,1,5,,,,,,TO_BE_DONE_UP
9876,2801,1,HOUSE,379000,1,4,163,0,,0,1,,,,705,3,,TO_BE_DONE_UP
9877,2100,1,HOUSE,326500,1,3,275,0,,0,,,1,180,295,2,,TO_BE_DONE_UP
9878,1370,1,HOUSE,425000,1,4,205,0,0,0,1,98,1,1335,1486,4,0,GOOD
9879,1070,2,APARTMENT,145000,1,1,50,0,,0,,,,,,2,,GOOD
9880,8300,2,APARTMENT,740000,1,3,90,1,0,0,1,,,,,2,0,AS_NEW
9881,1000,2,APARTMENT,895,2,1,40,1,1,0,,,,,,2,0,JUST_RENOVATED
9882,9990,2,APARTMENT,269000,1,2,110,,,0,1,,,,,,,JUST_RENOVATED
9883,1020,1,HOUSE,460000,1,3,185,0,,0,1,25,1,160,245,2,0,GOOD
9884,9230,2,APARTMENT,875,2,2,92,0,,0,,,,,,3,,GOOD
9885,8370,1,TOWN_HOUSE,287000,1,3,138,,,0,,,,,0,,,
9886,9572,1,HOUSE,285000,1,3,226,0,,0,,,,,830,,,GOOD
9887,2020,1,HOUSE,289000,1,4,135,,,0,,,1,50,120,2,,TO_BE_DONE_UP
9888,1150,2,APARTMENT,1950,2,3,95,1,,0,,,,,,,,JUST_RENOVATED
9889,9230,1,HOUSE,1050,2,3,136,,0,0,1,,,,100,2,,
9890,9230,2,APARTMENT,338000,1,2,94,1,0,0,1,20,,,,4,0,GOOD
9891,1000,2,DUPLEX,425000,1,2,110,0,0,0,1,16,,,,2,0,GOOD
9892,8370,2,APARTMENT,349000,1,2,103,0,,0,1,,,,,2,,GOOD
9893,1050,2,APARTMENT,795000,1,4,186,0,0,0,1,,,,,2,0,TO_BE_DONE_UP
9894,1150,1,VILLA,2750,2,4,180,1,0,0,1,30,1,700,800,4,0,GOOD
9895,6800,2,APARTMENT,850,2,3,110,1,0,0,1,8,,,,,,GOOD
9896,1050,2,APARTMENT,2600,2,2,134,1,0,0,1,8,,,,2,,JUST_RENOVATED
9897,3650,2,GROUND_FLOOR,279000,1,2,161,0,,0,,,,,,,,AS_NEW
9898,8300,2,APARTMENT,1500,2,2,87,0,,0,1,,,,,2,,GOOD
9899,1080,2,APARTMENT,159000,1,2,86,0,0,0,1,,,,,2,,GOOD
9900,1050,2,PENTHOUSE,1695,2,2,95,1,1,0,1,7,,,,,0,JUST_RENOVATED
9901,1030,2,APARTMENT,1650,2,2,121,0,,0,1,4,,,,2,,JUST_RENOVATED
9902,9600,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
9903,6220,1,HOUSE,125000,1,3,110,0,,0,,,,,90,2,,TO_RENOVATE
9904,1933,2,APARTMENT,3350,2,3,169,1,0,0,1,22,,,,,0,GOOD
9905,2580,2,APARTMENT,288000,1,1,82,1,,0,1,,,,,,,
9906,2800,2,APARTMENT,750,2,2,82,,0,0,,,,,,2,0,
9907,8760,1,HOUSE,325000,1,2,124,,,0,1,,,,306,,,JUST_RENOVATED
